date,temperature_c,rainfall_mm,humidity_percent
2019-08-29,19.5,10.4,95
2019-08-30,19.3,10.0,96
2019-08-31,19.3,9.5,96
2019-09-01,19.0,61.1,97
2019-09-02,18.7,44.4,99
2019-09-03,18.7,22.7,98
2019-09-04,18.9,30.5,99
2019-09-05,19.0,30.1,99
2019-09-06,19.2,21.9,97
2019-09-07,19.1,21.3,98
2019-09-08,19.3,24.9,97
2019-09-09,19.2,18.9,97
2019-09-10,19.6,10.9,95
2019-09-11,19.7,9.6,95
2019-09-12,19.7,6.5,96
2019-09-13,19.4,6.2,95
2019-09-14,20.0,7.0,95
2019-09-15,19.9,6.9,93
2019-09-16,19.1,4.9,96
2019-09-17,19.4,4.3,94
2019-09-18,20.0,3.5,94
2019-09-19,19.9,5.7,93
2019-09-20,20.0,3.2,92
2019-09-21,20.4,3.5,90
2019-09-22,20.6,1.6,90
2019-09-23,19.7,4.1,96
2019-09-24,20.4,7.0,83
2019-09-25,19.8,40.4,97
2019-09-26,19.0,9.1,96
2019-09-27,20.4,11.9,88
2019-09-28,20.3,5.6,90
2019-09-29,20.4,1.9,88
2019-09-30,20.7,4.7,88
2019-10-01,20.2,18.4,92
2019-10-02,20.2,6.5,91
2019-10-03,20.0,17.3,93
2019-10-04,19.8,15.0,94
2019-10-05,19.9,18.9,93
2019-10-06,20.0,13.3,92
2019-10-07,19.7,9.2,93
2019-10-08,19.9,19.6,93
2019-10-09,19.8,5.9,92
2019-10-10,19.7,14.9,92
2019-10-11,19.7,10.7,92
2019-10-12,20.0,16.6,93
2019-10-13,20.3,9.1,92
2019-10-14,21.5,2.0,85
2019-10-15,20.4,9.3,90
2019-10-16,20.6,31.9,89
2019-10-17,20.2,10.1,92
2019-10-18,19.4,46.9,96
2019-10-19,19.7,26.6,94
2019-10-20,19.8,19.3,94
2019-10-21,18.9,32.2,99
2019-10-22,19.0,5.6,97
2019-10-23,19.6,6.1,93
2019-10-24,19.4,11.6,93
2019-10-25,18.6,41.2,98
2019-10-26,18.1,49.0,99
2019-10-27,19.2,9.7,93
2019-10-28,19.9,1.5,88
2019-10-29,19.7,5.8,89
2019-10-30,18.9,14.2,94
2019-10-31,18.3,14.2,98
2019-11-01,19.5,1.3,83
2019-11-02,19.4,1.0,80
2019-11-03,19.7,6.3,89
2019-11-04,20.4,0.9,87
2019-11-05,20.8,0.4,83
2019-11-06,20.2,9.2,89
2019-11-07,19.7,3.0,91
2019-11-08,20.1,4.8,93
2019-11-09,20.2,5.9,91
2019-11-10,19.6,12.9,93
2019-11-11,19.5,7.8,92
2019-11-12,20.1,0.1,81
2019-11-13,19.8,0.0,76
2019-11-14,20.1,0.0,77
2019-11-15,20.1,4.7,89
2019-11-16,19.8,13.2,91
2019-11-17,20.4,0.2,80
2019-11-18,20.7,0.0,77
2019-11-19,21.0,1.0,81
2019-11-20,20.2,9.6,87
2019-11-21,20.3,13.5,89
2019-11-22,20.4,0.6,83
2019-11-23,20.5,0.0,78
2019-11-24,20.1,0.0,77
2019-11-25,20.5,0.0,78
2019-11-26,20.3,0.0,74
2019-11-27,20.5,1.4,81
2019-11-28,21.0,0.5,81
2019-11-29,21.0,1.7,82
2019-11-30,21.0,0.1,80
2019-12-01,19.0,17.0,96
2019-12-02,19.4,6.6,95
2019-12-03,18.9,6.3,91
2019-12-04,19.7,0.0,81
2019-12-05,19.1,0.0,75
2019-12-06,19.4,0.0,78
2019-12-07,19.1,0.0,79
2019-12-08,19.8,0.0,82
2019-12-09,19.3,0.0,77
2019-12-10,19.4,0.0,75
2019-12-11,19.8,0.0,77
2019-12-12,19.7,0.4,79
2019-12-13,19.6,0.0,76
2019-12-14,19.4,2.2,87
2019-12-15,20.0,0.0,76
2019-12-16,19.5,0.0,75
2019-12-17,19.7,0.0,77
2019-12-18,19.8,0.0,74
2019-12-19,19.7,0.0,75
2019-12-20,19.8,0.0,75
2019-12-21,20.2,0.0,75
2019-12-22,20.3,0.0,74
2019-12-23,20.1,0.7,75
2019-12-24,20.4,0.3,80
2019-12-25,20.5,1.4,85
2019-12-26,20.1,13.3,89
2019-12-27,20.8,1.7,84
2019-12-28,20.9,0.4,78
2019-12-29,20.0,0.6,76
2019-12-30,19.8,0.2,78
2019-12-31,19.6,3.0,84
2020-01-01,19.8,0.0,81
2020-01-02,19.9,2.0,84
2020-01-03,20.6,0.3,81
2020-01-04,20.4,0.0,77
2020-01-05,20.4,0.0,70
2020-01-06,21.0,0.0,73
2020-01-07,20.5,0.0,70
2020-01-08,19.8,0.1,76
2020-01-09,20.3,0.0,81
2020-01-10,20.3,0.0,71
2020-01-11,19.3,0.0,64
2020-01-12,19.1,0.0,63
2020-01-13,19.8,0.0,69
2020-01-14,19.7,0.0,73
2020-01-15,19.4,0.3,78
2020-01-16,19.0,0.0,81
2020-01-17,19.2,0.3,77
2020-01-18,19.8,0.0,73
2020-01-19,20.5,0.3,81
2020-01-20,20.8,0.0,74
2020-01-21,20.4,0.0,66
2020-01-22,20.7,0.0,65
2020-01-23,20.4,0.0,68
2020-01-24,20.5,0.0,64
2020-01-25,20.3,0.0,58
2020-01-26,20.6,0.0,66
2020-01-27,20.4,0.7,79
2020-01-28,20.9,0.3,78
2020-01-29,20.6,0.0,76
2020-01-30,21.0,0.0,72
2020-01-31,20.8,0.0,71
2020-02-01,20.2,0.3,76
2020-02-02,20.0,0.8,78
2020-02-03,20.4,0.0,71
2020-02-04,19.9,0.0,70
2020-02-05,20.0,0.0,75
2020-02-06,20.5,0.0,76
2020-02-07,19.6,0.2,79
2020-02-08,19.3,0.0,68
2020-02-09,19.6,0.0,67
2020-02-10,20.5,0.0,66
2020-02-11,20.6,0.0,59
2020-02-12,21.3,0.0,62
2020-02-13,21.3,0.0,67
2020-02-14,21.2,0.0,68
2020-02-15,22.1,0.0,66
2020-02-16,21.4,0.0,69
2020-02-17,21.3,0.0,54
2020-02-18,21.1,0.0,57
2020-02-19,21.2,0.0,66
2020-02-20,21.5,0.0,60
2020-02-21,21.5,0.0,52
2020-02-22,21.9,0.0,55
2020-02-23,21.8,0.0,60
2020-02-24,21.7,0.0,61
2020-02-25,22.0,0.0,63
